Field,LongName,Description,Levels,Units,TermURL,HED
ASSQ_22,,has difficulties in completing simple daily activities because of compulsory repetition of certain actions or thoughts (i.e. any habits that s/he just has to do?),0 = No | 1 = Somewhat | 2 = Yes,,,
AUDIT_02_b,,2b. Have you ever had at least two drinks on one occasion?,,,,
AUDIT_02_b,,2b. Have you ever had at least two drinks on one occasion?,0 = No | 1 = Yes,,,
AUDIT_05,,5. How often during the last year have you failed to do what was normally expected of you because of drinking?,,,,
AUDIT_05,,5. How often during the last year have you failed to do what was normally expected of you because of drinking?,0 = Never | 1 = Less than Monthly | 2 = Monthly | 3 = Weekly | 4 = Daily or Almost Daily,,,
AUDIT_08,,8. How often during the last year have you been unable to remember what happened the night before because you had been drinking?,,,,
AUDIT_08,,8. How often during the last year have you been unable to remember what happened the night before because you had been drinking?,0 = Never | 1 = Less than Monthly | 2 = Monthly | 3 = Weekly | 4 = Daily or Almost Daily,,,
Barratt_P2_Edu,,Parent 2 level of education,,,,
Barratt_P1_Occ,,Parent 1 level of occupation,,,,
Barratt_P1_Occ,,Parent 1 level of occupation,"5 = Day laborer | busboy.
10 = Garbage collector | baggage porter.
15 = Automobile mechanic | hairdresser.
20 = Automobile mechanic | hairdresser.
25 = Machinist | welder.
30 = Supervisor | buyer.
35 = Nurse | speech therapist.
40 = Mechanical | high school and special education teacher.
45 = Physician",,,
Barratt_Total_Occ,,Occupation total score,,,,
Enroll_Season,,Enrollment Season,,,,
Age,,Age,,,,
Commercial_Use,,Did participant consent to commercial use of data?,,,,
BIA_Weight,,Weight,,,,
BIA_ECW,,Extracellular Water,,,,
BIA_FFMI,,Fat Free Mass Index,,,,
C3SR_13,,13. I have trouble with spelling.,,,,
C3SR_13,,13. I have trouble with spelling.,0 = Not true at all (Never | 1 = Just a little true (Occasionally) | 2 = Pretty much true (Often | 3 = Very much true (Very often,,,
C3SR_26,,26. My parents are too harsh when they punish me.,,,,
C3SR_26,,26. My parents are too harsh when they punish me.,0 = Not true at all (Never | 1 = Just a little true (Occasionally) | 2 = Pretty much true (Often | 3 = Very much true (Very often,,,
C3SR_38,,38. I have trouble with math.,,,,
C3SR_38,,38. I have trouble with math.,0 = Not true at all (Never | 1 = Just a little true (Occasionally) | 2 = Pretty much true (Often | 3 = Very much true (Very often,,,
CAARS_10,,"10. I seek out fast paced, exciting activities.",,,,
CAARS_10,,"10. I seek out fast paced, exciting activities.",0 = Not at all | never; 1 = Just a little | once in a while; 2 = Pretty much | often; 3 = Very much,,,
CAARS_19,,19. I intrude on others’ activities.,,,,
CAARS_19,,19. I intrude on others’ activities.,0 = Not at all | never; 1 = Just a little | once in a while; 2 = Pretty much | often; 3 = Very much,,,
CAARS_IM_T,,Inattention/Memory Problems T-Score,,,,
CBCL_37,,37. Gets in many fights,,,,
CBCL_37,,37. Gets in many fights,0 = Not true | 1 = Somewhat or sometimes true | 2 = Very true or often true,,,
CBCL_67,,67. Runs away from home,,,,
CBCL_67,,67. Runs away from home,0 = Not true | 1 = Somewhat or sometimes true | 2 = Very true or often true,,,
CBCL_103,,"103. Unhappy, sad, or depressed",,,,
CBCL_103,,"103. Unhappy, sad, or depressed",0 = Not true | 1 = Somewhat or sometimes true | 2 = Very true or often true,,,
CBCL_Pre_33,,33. Feelings are easily hurt,,,,
CBCL_Pre_33,,33. Feelings are easily hurt,0 = Not true (as far as you know) | 1 = Somewhat or sometimes true | 2 = Very true or often true,,,
CBCL_Pre_66,,66. Screams a lot,,,,
CBCL_Pre_66,,66. Screams a lot,0 = Not true (as far as you know) | 1 = Somewhat or sometimes true | 2 = Very true or often true,,,
CBCL_Pre_98,,"98. Withdrawn, doesn't get involved with others",,,,
CBCL_Pre_98,,"98. Withdrawn, doesn't get involved with others",0 = Not true (as far as you know) | 1 = Somewhat or sometimes true | 2 = Very true or often true,,,
CCSC_19,,19. You told your parent how you would like to solve the problem.,,,,
CCSC_19,,19. You told your parent how you would like to solve the problem.,1 = Never | 2 = Sometimes | 3 = Often | 4 = Most of the time,,,
CCSC_38,,38. You thought about what you could learn from the problem.,,,,
CCSC_38,,38. You thought about what you could learn from the problem.,1 = Never | 2 = Sometimes | 3 = Often | 4 = Most of the time,,,
CCSC_56,,56. You talked to your brother or sister about how to make things better.,,,,
CCSC_56,,56. You talked to your brother or sister about how to make things better.,1 = Never | 2 = Sometimes | 3 = Often | 4 = Most of the time,,,
CDI2P_06,,6. My child is cranky or irritable.,,,,
CDI2P_06,,6. My child is cranky or irritable.,0 = Not at all | 1 = Some of the time | 2 = Often | 3 = Much or most of the time,,,
CDI2P_12,,12. My child seems lonely.,,,,
CDI2P_12,,12. My child seems lonely.,0 = Not at all | 1 = Some of the time | 2 = Often | 3 = Much or most of the time,,,
CDI2P_17,,17. My child has disagreements and conflicts with others.,,,,
CDI2P_17,,17. My child has disagreements and conflicts with others.,0 = Not at all | 1 = Some of the time | 2 = Often | 3 = Much or most of the time,,,
CDI2_07,,Item 7,,,,
CDI2_07,,Item 7,0 = Bad things are not usually my fault | 1 = Many bad things are usually my fault | 2 = All bad things are my fault,,,
CDI2_FP,,CDI Functional Problems,,,,
CDI2_NM,,CDI Negative Mood/Physical Problems,,,,
CELF_Incomplete_Reason,,"If CELF was not completed, for what reason?",,,,
CELF_Invalid_Reason,,"If invalid, for what reason?",,,,
CELF_Invalid_Reason,,"If invalid, for what reason?",0 = Did not follow rules | 1 = Behavioral issues | 2 = Already tested | 3 = Other,,,
CELF_Total,,CELF-5 Total Score,,,,
CELF_WS_R,,Word Structure Raw Score,,,,
CELF_FS_S,,Formulated Sentences Scaled Score,,,,
CELF_PP_P,,Pragmatics Profile Percentile Rank,,,,
CELF_FS_R,,Formulated Sentences Raw Score,,,,
CELF_WD_S,,Word Definitions Scaled Score,,,,
CLEF5M_MI_Rank,,Metalinguistics inferences percentile rank,,,,
CLEF5M_MM_Rank,,Multiple meanings percentile rank,,,,
CLEF5M_TMI_Rank,,Total metalinguistics percentile rank,,,,
CIS_P_04,,"In general, how much of a problem do you think your child has with feeling unhappy or sad?",,,,
CIS_P_04,,"In general, how much of a problem do you think your child has with feeling unhappy or sad?",0 = No Problem | 1 =  | 2 = Some Problem | 3 =  | 4 = Very Bad Problem | 5 = Don't Know/Does Not Apply,,,
CIS_P_08,,How much of a problem does your child have with feeling nervous or afraid?,,,,
CIS_P_08,,How much of a problem does your child have with feeling nervous or afraid?,0 = No Problem | 1 =  | 2 = Some Problem | 3 =  | 4 = Very Bad Problem | 5 = Don't Know/Does Not Apply,,,
CIS_P_11,,How much of a problem would you say your child has getting involved in activities like sports or hobbies?,,,,
CIS_P_11,,How much of a problem would you say your child has getting involved in activities like sports or hobbies?,0 = No Problem | 1 =  | 2 = Some Problem | 3 =  | 4 = Very Bad Problem | 5 = Don't Know/Does Not Apply,,,
CIS_SR_04,,"In general, how much of a problem do you think you have with feeling unhappy or sad?",,,,
CIS_SR_04,,"In general, how much of a problem do you think you have with feeling unhappy or sad?",0 = No Problem | 1 =  | 2 = Some Problem | 3 =  | 4 = Very Bad Problem | 5 = Don't Know/Does Not Apply,,,
CIS_SR_08,,How much of a problem do you have with feeling nervous or afraid?,,,,
CIS_SR_08,,How much of a problem do you have with feeling nervous or afraid?,0 = No Problem | 1 =  | 2 = Some Problem | 3 =  | 4 = Very Bad Problem | 5 = Don't Know/Does Not Apply,,,
CIS_SR_11,,How much of a problem would you say you have getting involved in activities like sports or hobbies?,,,,
CIS_SR_11,,How much of a problem would you say you have getting involved in activities like sports or hobbies?,0 = No Problem | 1 =  | 2 = Some Problem | 3 =  | 4 = Very Bad Problem | 5 = Don't Know/Does Not Apply,,,
CV_Plate_03_R,,Plate 03 Result,,,,
CV_Plate_03_R,,Plate 03 Result,1 = Normal (5) | 0 = Red-Green Deficiency (2) | -1 = Total Deficiency (other),,,
CV_Plate_07_R,,Plate 07 Result,,,,
CV_Plate_07_R,,Plate 07 Result,1 = Normal (45) | 0 = Red-Green Deficiency (other) | -1 = Total Deficiency (other),,,
CV_Plate_11,,Plate 11 Response,,,,
CPIC_15,,15. I don't know what to do when my parents have arguments,,,,
CPIC_15,,15. I don't know what to do when my parents have arguments,0 = True | 1 = Sort of True | 2 = False,,,
CPIC_30,,30. When my parents argue they usually make up right away,,,,
CPIC_30,,30. When my parents argue they usually make up right away,0 = False | 1 = Sort of True | 2 = True,,,
CPIC_44,,44. My dad wants me to be on his side when he and my mom argue,,,,
CPIC_44,,44. My dad wants me to be on his side when he and my mom argue,0 = True | 1 = Sort of True | 2 = False,,,
CSSRS_freq,,How many times have you had these thoughts?,,,,
CSSRS_freq,,How many times have you had these thoughts?,1 = Less than once a week | 2 = Once a week | 3 = 2-5 times in a week | 4 = Daily or almost daily | 5 = Many times each day,,,
CSSRS_actual_selfinjury,,Has subject engaged in non-suicidal self-injurious behavior?,,,,
CSSRS_actual_selfinjury,,Has subject engaged in non-suicidal self-injurious behavior?,0 = No | 1 = Yes,,,
CSSRS_behavior,,Was suicidal behavior present during the assessment period?,,,,
CSSRS_behavior,,Was suicidal behavior present during the assessment period?,0 = No | 1 = Yes,,,
CTOPP_BW_R,,Blending Words raw score,,,,
CTOPP_RD_R,,Rapid Digit Naming raw score,,,,
CTOPP_RO_R,,Rapid Object Naming raw score,,,,
med_time_02,,Medication Time Taken (2),,,,
caff_time_02,,Time (2),,,,
alc_amt_01,,Amount (1),,,,
DX_01,,Diagnosis,,,,
DX_01_New,,Is a new diagnosis,,,,
DX_01_New,,Is a new diagnosis,0 = Does not apply | 1 = Applies to diagnosis,,,
DX_01_Rem,,In remission,,,,
DX_01_Rem,,In remission,0 = Does not apply | 1 = Applies to diagnosis,,,
KSADS_239,,"Duration of phobia at least 6 months, Present",,,,
KSADS_239,,"Duration of phobia at least 6 months, Present",0 = No | 1 = Yes,,,
KSADS_477,,"Failure to fulfill major role responsibilities due to alcohol use, Present",,,,
KSADS_477,,"Failure to fulfill major role responsibilities due to alcohol use, Present",0 = No | 1 = Yes,,,
KSADS_715,,"Great deal of time obtaining, using or recovering from substance use (Stimulants), Past",,,,
KSADS_715,,"Great deal of time obtaining, using or recovering from substance use (Stimulants), Past",0 = No | 1 = Yes,,,
DS_b_length,,Backwards Length,,,,
DS_b_raw,,Backwards Raw Score,,,,
DS_total_raw,,Total Raw Score,,,,
dishion_part2_03,,"3. This student hits, shoves, or pushes peers.",,,,
dishion_part2_03,,"3. This student hits, shoves, or pushes peers.",1 = Never true | 5 = Almost always true,,,
dishion_part2_08,,8. This student is helpful to peers.,,,,
dishion_part2_08,,8. This student is helpful to peers.,1 = Never true | 5 = Almost always true,,,
dishion_part2_13,,13. This student threatens to stop being a peer's friend in order to hurt the peer or to get what she wants from the peer.,,,,
dishion_part2_13,,13. This student threatens to stop being a peer's friend in order to hurt the peer or to get what she wants from the peer.,1 = Never true | 5 = Almost always true,,,
BZO300,,Benzodiazepines,,,,
BZO300,,Benzodiazepines,0 = Negative | 1 = Positive,,,
MTD300,,Methadone,,,,
MTD300,,Methadone,0 = Negative | 1 = Positive,,,
PPX300,,Propoxyphene,,,,
PPX300,,Propoxyphene,0 = Negative | 1 = Positive,,,
DTS_06,,6. I can tolerate being distressed or upset as well as most  people,,,,
DTS_06,,6. I can tolerate being distressed or upset as well as most  people,5 = Strongly Disagree | 2 = Mildly Agree | 3 = Agree and Disagree Equally | 4 = Mildly Disagree,,,
DTS_11,,11. I am ashamed of myself when I feel distressed or   upset,,,,
DTS_11,,11. I am ashamed of myself when I feel distressed or   upset,1 = Strongly Disagree | 2 = Mildly Disagree | 3 = Agree and Disagree Equally | 4 = Mildly Agree | 5 = Strongly Agree,,,
DTS_absorption,,Absorption subscale,,,,
EEG_2_notes,,Explicit Sequence Learning Paradigm Notes,,,,
EEG5_crash,,Contrast Change Detection 1 Program Crashed (Skipped),,,,
EEG5_crash,,Contrast Change Detection 1 Program Crashed (Skipped),0 = No | 1 = Yes,,,
EEG8_abb,,Video 2 Abbreviated Protocol,,,,
EEG8_abb,,Video 2 Abbreviated Protocol,0 = No | 1 = Yes,,,
EHQ_05,,Using a Toothbrush,,,,
EHQ_05,,Using a Toothbrush,-1 = Left hand | -0.5 = Left hand | 0 = No preference | 0.5 = Right hand | 1 = Right hand,,,
EHQ_09,,Striking a Match,,,,
EHQ_09,,Striking a Match,-1 = Left hand | -0.5 = Left hand | 0 = No preference | 0.5 = Right hand | 1 = Right hand,,,
EHQ_13,,Holding a Hammer,,,,
EHQ_13,,Holding a Hammer,-1 = Left hand | -0.67 = Left hand | 0 = No preference | 0.67 = Right hand | 1 = Right hand,,,
ESPAD_04h,,4h. Can you get through the week without using amphetamines (unless you require it for medical reasons)?,,,,
ESPAD_04h,,4h. Can you get through the week without using amphetamines (unless you require it for medical reasons)?,0 = no | 1 = yes,,,
ESPAD_08f,,8f. Please indicate if you have used cocaine on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?,,,,
ESPAD_08f,,8f. Please indicate if you have used cocaine on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?,0 = no | 1 = yes,,,
ESPAD_12d,,12d. On how many occasions OVER THE LAST 30 DAYS have you used ecstacy (MDMA)?,,,,
ESPAD_12d,,12d. On how many occasions OVER THE LAST 30 DAYS have you used ecstacy (MDMA)?,1 = 1-2 | 2 = 3-5 | 3 = 6-9 | 4 = 10-19 | 5 = 20-39 | 6 = 40 or more,,,
SocAnx_04A,,4a. Seek out social activities,,,,
SocAnx_04A,,4a. Seek out social activities,-3 = Far above average | -2 = Above average | -1 = Slightly above average | 0 = Average | 1 = Slightly below average | 2 = Above average | 3 = Far above average,,,
DMDD_5B,,5b. Return quickly to baseline mood and behavior when frustrated with friends,,,,
DMDD_5B,,5b. Return quickly to baseline mood and behavior when frustrated with friends,-3 = Far above average | -2 = Above average | -1 = Slightly above average | 0 = Average | 1 = Slightly below average | 2 = Above average | 3 = Far above average,,,
DMDD_10C,,"10c. Compared to other children of the same age, over the past year, how well has this child maintained appropriate mood and behavior at school",,,,
DMDD_10C,,"10c. Compared to other children of the same age, over the past year, how well has this child maintained appropriate mood and behavior at school",-3 = Far above average | -2 = Above average | -1 = Slightly above average | 0 = Average | 1 = Slightly below average | 2 = Above average | 3 = Far above average,,,
EVT_Valid,,Was EVT administration valid?,,,,
EVT_Valid,,Was EVT administration valid?,0 = No | 1 = Yes,,,
EVT_Valid_Possible,,Invalid possibly due to language background,,,,
EVT2_StandardScore,,EVT Standard Score,,,,
FFQ_SPAGQUAN,,"Spaghetti, lasagna, quantity each time",,,,
FFQ_SPAGQUAN,,"Spaghetti, lasagna, quantity each time",1 = A little | 2 = Some | 3 = A lot,,,
FFQ_GROUP_SOLID_COUNT,,Number of solid food items reported as consumed,,,,
FFQ_DRXIP184,,PFA 18:4 (Octadecatetraenoic) (gm),,,,
FG_A_TL,,Trunk lift,,,,
FG_A_GSND,,Grip Strength (non-dominant),,,,
FG_A_PU_Range,,Push Up descriptive category,,,,
FGC_TL,,Trunk lift total,,,,
FGC_SRL,,Sit & Reach total (left side),,,,
FGC_GSD,,Grip Strength total (dominant),,,,
WarmUp_HR,,Participant heart rate during warmup stage,,,,
Stage2_HR,,Participant heart rate during stage 2,,,,
stop_criteria_priority_2,,What was the priority 2 stop criteria?,,,,
Fitness_Incomplete_Reason,,"If incomplete, reason:",,,,
